location,state,site,rep,longitude,latitude,elevation,day,month,year,infection,dbh,tree_ba,height,pre,post,net,C_percent,delta_13C,N_percent,delta_15N,CN_ratio,OM_percent,pH
Concord,MA,Bristers_flat,1,-71.334176,42.446263,68,16,5,2021,unifected,4.373195418,0.10425693,6.934,6.72,7.79,1.07,49.65,-30.18,1.57,-6.93,31.62420382,NA,NA
Concord,MA,Bristers_flat,2,-71.334005,42.44629,69,16,5,2021,unifected,7.36269315,0.295515705,7.924,NA,NA,NA,49.24,-29.51,1.46,-2.67,33.7260274,30.9,3.9
Concord,MA,Bristers_flat,3,-71.334264,42.446145,69,16,5,2021,unifected,9.868,0.530842207,7.071,6.65,7.34,0.69,49.1,-29.22,1.35,-4.11,36.37037037,NA,NA
Concord,MA,Bristers_flat,4,-71.334573,42.44616,70,16,5,2021,unifected,5.279546405,0.151949889,6.629,NA,NA,NA,49.41,-28.06,1.48,-4.11,33.38513514,30.97,2.73
Concord,MA,Bristers_flat,5,-71.334685,42.446077,66,16,5,2021,unifected,4.515348837,0.111144962,5.181,6.72,7.79,1.07,49.97,-28.9,1.42,-3.4,35.19014085,27.4,3.51
Concord,MA,Bristers_flat,6,-71.33476425,42.44598217,68,16,5,2021,unifected,4.24,0.098002889,6.05,6.71,8.77,2.06,48.9,-30.06,1.19,-3.89,41.09243697,28.072,2.97
Concord,MA,Bristers_flat,7,-71.334721,42.445895,68,16,5,2021,unifected,4.607936508,0.11574977,8.001,6.71,8.77,2.06,49.27,-29.3,1.34,-5.55,36.76865672,29.504,2.31
Concord,MA,Bristers_flat,8,-71.334718,42.445959,70,16,5,2021,unifected,4.158095238,0.094253184,6.644,NA,NA,NA,49.65,-28.39,1.43,-4.21,34.72027972,32.918,2.68
Concord,MA,Bristers_flat,9,-71.334835,42.445921,67,16,5,2021,unifected,4.1232,0.092677854,4.791,NA,NA,NA,48.29,-29.99,1.67,-4.35,28.91616766,29.7728,2.84
Concord,MA,Bristers_flat,10,-71.33504135,42.44581149,69,16,5,2021,unifected,5.781,0.182185204,6.4,NA,NA,NA,50.06,-29.24,1.27,-6.48,39.41732283,NA,NA
Concord,MA,Bristers_flat,11,-71.334143,42.446196,67,16,5,2021,unifected,6.224761905,0.211228567,8.26,6.65,8.77,2.12,49.68,-28.07,1.5,-3.07,33.12,NA,NA
Concord,MA,Bristers_flat,12,-71.33514046,42.44579082,69,16,5,2021,unifected,9.347301587,0.476299006,13.716,6.71,7.8,1.09,48.98,-28.93,1.62,-3.47,30.2345679,NA,NA
Concord,MA,Bristers_flat,13,-71.335188,42.445801,67,16,5,2021,unifected,5.001904762,0.136388578,8.534,6.65,8.77,2.12,49.3,-28.99,1.37,-4.33,35.98540146,NA,NA
Concord,MA,Bristers_flat,14,-71.33536504,42.44576958,68,16,5,2021,unifected,4.7216,0.121530574,5.41,NA,NA,NA,49.81,-28.09,1.34,-4.51,37.17164179,NA,NA
Concord,MA,Bristers_flat,15,-71.33531004,42.44577058,69,16,5,2021,unifected,5.0125,0.136966998,5.492,NA,NA,NA,49.1,-28.81,1.44,-5.56,34.09722222,NA,NA
Concord,MA,Bristers_flat,16,-71.335253,42.445688,70,16,5,2021,unifected,6.085714286,0.201897194,16.84,6.71,8.69,1.98,49.13,-29.48,1.34,-0.95,36.6641791,NA,NA
Concord,MA,Bristers_flat,17,-71.335762,42.445641,68,16,5,2021,unifected,5.88,0.1884785,4.913,NA,NA,NA,48.88,-30.92,1.59,-2.48,30.74213836,16.84,1.98
Concord,MA,Bristers_flat,18,-71.335738,42.445688,69,16,5,2021,unifected,5.328636364,0.154788729,4.953,NA,NA,NA,49.56,-31.04,1.13,-3.84,43.85840708,17.221,2.27
Concord,MA,Bristers_flat,19,-71.335854,42.445643,70,16,5,2021,unifected,6.284090909,0.215274249,7.924,6.72,8.37,1.65,48.77,-31.61,1.23,-3.58,39.6504065,9.463,3.03
Concord,MA,Bristers_flat,20,-71.336031,42.445599,67,16,5,2021,unifected,5.733181818,0.179183739,6.806,NA,NA,NA,49.56,-28.85,1.3,-4.06,38.12307692,6.501,3.39
Concord,MA,Bristers_flat,21,-71.33507135,42.44582549,69,16,5,2021,unifected,8.164761905,0.363407774,12.221,6.65,8.92,2.27,51.14,-28.31,1.41,-4.29,36.26950355,9.372,3.11
Concord,MA,Bristers_flat,22,-71.334464,42.446105,67,16,5,2021,unifected,5.916818182,0.190846242,7.391,6.73,8.29,1.56,49.15,-30.09,1.52,-2.67,32.33552632,11.8794,2.756
Concord,MA,Bristers_flat,23,-71.333919,42.44617,68,16,5,2021,unifected,5.053,0.139189271,4.52,NA,NA,NA,49.11,-30.61,1.38,-3.95,35.58695652,NA,NA
Concord,MA,Bristers_flat,24,-71.333936,42.446254,67,16,5,2021,unifected,5.8615,0.187294362,6.096,NA,NA,NA,48.57,-28.93,1.64,-4.05,29.61585366,NA,NA
Concord,MA,Bristers_flat,25,-71.334513,42.446084,67,16,5,2021,unifected,6.5895,0.236707539,9.463,6.7,9.73,3.03,48.99,-28.52,1.45,-2.8,33.7862069,NA,NA
Concord,MA,Bristers_flat,26,-71.334184,42.446279,67,16,5,2021,unifected,5.8615,0.187294362,6.501,6.66,10.05,3.39,49.6,-29.54,1.52,-3.8,32.63157895,NA,NA
Concord,MA,Bristers_flat,27,-71.334108,42.446402,69,16,5,2021,unifected,5.475,0.163408789,5.562,NA,NA,NA,48.55,-28.94,1.64,-3.47,29.60365854,NA,NA
Concord,MA,Bristers_flat,28,-71.33453958,42.44620803,67,16,5,2021,unifected,5.696363636,0.176889712,8.183,NA,NA,NA,4.87,-28.85,0.15,-3.82,32.46666667,NA,NA
Concord,MA,Bristers_flat,29,-71.334114,42.446206,68,16,5,2021,unifected,7.2765,0.288637153,9.372,6.71,9.82,3.11,48.14,-28.9,1.43,-2.74,33.66433566,NA,NA
Concord,MA,Bristers_flat,30,-71.333973,42.446395,69,16,5,2021,unifected,6.72,0.246176,9.441,NA,NA,NA,49,-28.16,1.21,-5.34,40.49586777,NA,NA
Concord,MA,Bristers_Hill,1,-71.337198,42.446942,71,16,5,2021,unifected,8.491,0.393029226,16.286,NA,NA,NA,49.43,-31.52,1.41,-3.72,35.05673759,NA,NA
Concord,MA,Bristers_Hill,2,-71.33723,42.44699,72,16,5,2021,unifected,10.71,0.625296656,22.763,NA,NA,NA,45.76,-30.74,1.64,-3.72,27.90243902,NA,NA
Concord,MA,Bristers_Hill,3,-71.337206,42.447165,73,16,5,2021,unifected,9.748,0.518010074,22.37,NA,NA,NA,49.2,-28.22,1.44,-4.24,34.16666667,NA,NA
Concord,MA,Bristers_Hill,4,-71.337184,42.447168,72,16,5,2021,unifected,7.953,0.344801487,18.959,NA,NA,NA,50.24,-29.33,1.16,-3.9,43.31034483,NA,NA
Concord,MA,Bristers_Hill,5,-71.33703,42.44717,71,16,5,2021,unifected,5.079,0.140625342,13.037,6.72,8.9,2.18,48.57,-29.98,1.44,-4.72,33.72916667,NA,NA
Concord,MA,Bristers_Hill,6,-71.33701,42.447328,71,16,5,2021,unifected,10.748,0.629741741,17.353,NA,NA,NA,48.92,-30.52,1.08,-4.27,45.2962963,NA,NA
Concord,MA,Bristers_Hill,7,-71.337028,42.447289,71,16,5,2021,unifected,9.979,0.54285171,14.357,6.72,8.53,1.81,48.97,-31.37,1.13,-3.81,43.33628319,NA,NA
Concord,MA,Bristers_Hill,8,-71.33708,42.44739,71,16,5,2021,unifected,6.67,0.242526295,16.204,6.73,9.58,2.85,48.85,-29.67,1.35,-3.17,36.18518519,NA,NA
Concord,MA,Bristers_Hill,9,-71.336503,42.447595,75,16,5,2021,unifected,8.209,0.367356455,13.503,NA,NA,NA,49.41,-29.29,1.63,-2.9,30.31288344,NA,NA
Concord,MA,Bristers_Hill,10,-71.33644,42.44761,75,16,5,2021,unifected,7.055,0.271332115,13.656,NA,NA,NA,50.36,-29.21,1.24,-1.88,40.61290323,NA,NA
Concord,MA,Bristers_Hill,11,-71.337173,42.446933,70,16,5,2021,unifected,9.941,0.538725226,16.134,NA,NA,NA,48.64,-30,1.29,-1.89,37.70542636,NA,NA
Concord,MA,Bristers_Hill,12,-71.337201,42.446926,73,16,5,2021,unifected,7.824,0.33370664,13.823,NA,NA,NA,50.53,-32.03,1.15,-1.91,43.93913043,NA,NA
Concord,MA,Bristers_Hill,13,-71.337059,42.447009,74,16,5,2021,unifected,8.786,0.420813402,18.563,6.68,12.47,5.79,50.38,-29.75,1.21,-2.42,41.63636364,NA,NA
Concord,MA,Bristers_Hill,14,-71.33717,42.44709,73,16,5,2021,unifected,7.888,0.339188382,16.998,NA,NA,NA,50.46,-28.48,1.47,-3.53,34.32653061,NA,NA
Concord,MA,Bristers_Hill,15,-71.33709,42.44715,74,16,5,2021,unifected,9.209,0.462308747,13.104,6.7,9.61,2.91,50.52,-31.49,1.12,-1.99,45.10714286,NA,NA
Concord,MA,Bristers_Hill,16,-71.33696,42.44715,74,16,5,2021,unifected,6.934,0.262104718,14.082,NA,NA,NA,48.96,-29.93,1.14,-4.91,42.94736842,NA,NA
Concord,MA,Bristers_Hill,17,-71.33697,42.44733,74,16,5,2021,unifected,7.516,0.307950354,13.39,6.65,7.19,0.54,48.42,-30.59,1.53,-2.42,31.64705882,NA,NA
Concord,MA,Bristers_Hill,18,-71.33694,42.44739,74,16,5,2021,unifected,4.682,0.119500572,12.644,NA,NA,NA,50.34,-28.16,1.19,-1.08,42.30252101,NA,NA
Concord,MA,Bristers_Hill,19,-71.33704,42.44742,70,16,5,2021,unifected,5.926,0.191439018,16.925,6.71,11.9,5.19,48.97,-30.93,0.98,-2.86,49.96938776,NA,NA
Concord,MA,Bristers_Hill,20,-71.33666,42.44769,70,16,5,2021,unifected,6.721,0.246249272,12.095,NA,NA,NA,50.51,-29.76,1.02,-1.59,49.51960784,NA,NA
Concord,MA,Bristers_Hill,21,-71.33665,42.44766,73,16,5,2021,unifected,5.323,0.154461446,16.038,NA,NA,NA,49.42,-28.92,0.83,-1.1,59.54216867,NA,NA
Concord,MA,Bristers_Hill,22,-71.33622,42.44771,73,16,5,2021,unifected,5.926,0.191439018,16.952,6.7,7.91,1.21,50.89,-30.43,1.22,-4.71,41.71311475,NA,NA
Concord,MA,Bristers_Hill,23,-71.3363,42.44756,72,16,5,2021,unifected,8.081,0.355989655,20.133,6.72,6.94,0.22,49.73,-28.9,1.24,-2.64,40.10483871,NA,NA
Concord,MA,Bristers_Hill,24,-71.33632,42.44769,71,16,5,2021,unifected,6.246,0.212672396,9.657,NA,NA,NA,51.11,-29.91,1.02,-1.71,50.10784314,NA,NA
Concord,MA,Bristers_Hill,25,-71.33717,42.44655,72,16,5,2021,unifected,8.337,0.378901887,8.105,NA,NA,NA,47.19,-30.15,0.98,-1.53,48.15306122,NA,NA
Concord,MA,Bristers_Hill,26,-71.33682,42.44643,72,16,5,2021,unifected,5.761,0.180926805,10.919,NA,NA,NA,49.79,-32.08,1.27,-2.84,39.20472441,NA,NA
Concord,MA,Bristers_Hill,27,-71.33674,42.4465,71,16,5,2021,unifected,8.273,0.373106842,18.304,NA,NA,NA,51.25,-29.98,1.13,0.39,45.3539823,NA,NA
Concord,MA,Bristers_Hill,28,-71.33666,42.44633,69,16,5,2021,unifected,6.695,0.24434774,13.037,NA,NA,NA,50.45,-30.72,1.38,-0.78,36.55797101,NA,NA
Concord,MA,Bristers_Hill,29,-71.33641,42.44625,70,16,5,2021,unifected,8.511,0.394882917,19.045,NA,NA,NA,49.25,-30.94,1.73,-0.29,28.46820809,NA,NA
Concord,MA,Bristers_Hill,30,-71.33626,42.44634,71,16,5,2021,unifected,7.696,0.322877129,18.091,6.66,10.07,3.41,48.22,-28.9,1.27,-3.06,37.96850394,NA,NA
Concord,MA,Fairyland_Overlook,1,-71.339957,42.447716,76,17,5,2021,unifected,11.816,0.761111229,30.97,6.65,9.38,2.73,48.05,-30.8,1.21,-4,39.7107438,NA,NA
Concord,MA,Fairyland_Overlook,2,-71.339582,42.447714,81,17,5,2021,unifected,9.797,0.523230896,27.04,NA,NA,NA,48.78,-28.47,1.43,-3.82,34.11188811,NA,NA
Concord,MA,Fairyland_Overlook,3,-71.339549,42.447881,81,17,5,2021,unifected,12.574,0.861894435,30.75,6.72,7.36,0.64,48.26,-31.57,0.51,NA,94.62745098,NA,NA
Concord,MA,Fairyland_Overlook,4,-71.339609,42.44786,80,17,5,2021,unifected,15.564,1.320534065,35.48,NA,NA,NA,49.25,-28.61,1.6,-3.96,30.78125,NA,NA
Concord,MA,Fairyland_Overlook,5,-71.339582,42.44787,78,17,5,2021,unifected,16.008,1.39695146,35.75,6.66,7.01,0.35,47.35,-30.86,1.19,-5.09,39.78991597,NA,NA
Concord,MA,Fairyland_Overlook,6,-71.339544,42.44768,80,17,5,2021,unifected,12.826,0.896787685,27.98,NA,NA,NA,48.53,-31.06,1.25,-4.4,38.824,NA,NA
Concord,MA,Fairyland_Overlook,7,-71.339521,42.447771,80,17,5,2021,unifected,12.17,0.807399212,23.95,6.78,7.03,0.25,47.18,-27.8,1.53,-4.19,30.83660131,NA,NA
Concord,MA,Fairyland_Overlook,8,-71.339478,42.447853,79,17,5,2021,unifected,14.341,1.121155976,27.4,6.64,10.15,3.51,47.73,-26.64,1.27,-2.5,37.58267717,NA,NA
Concord,MA,Fairyland_Overlook,9,-71.33948,42.447669,79,17,5,2021,unifected,9.973,0.542199113,25.85,NA,NA,NA,52.56,-29.68,1.26,-2.15,41.71428571,NA,NA
Concord,MA,Fairyland_Overlook,10,-71.339355,42.447884,80,17,5,2021,unifected,11.418,0.710701516,26.487,NA,NA,NA,38.83,-29.18,1.37,-4.12,28.34306569,NA,NA
Concord,MA,Fairyland_Overlook,11,-71.339307,42.447731,78,17,5,2021,unifected,11.261,0.691291285,25.55,6.7,7.7,1,48.73,-29,1.42,-3.11,34.31690141,NA,NA
Concord,MA,Fairyland_Overlook,12,-71.339215,42.447802,78,17,5,2021,unifected,8.696,0.412236296,28.92,6.63,8.06,1.43,8.2,-30.71,0.22,NA,37.27272727,NA,NA
Concord,MA,Fairyland_Overlook,13,-71.339164,42.447676,78,17,5,2021,unifected,10.706,0.624829668,27.099,6.66,8.77,2.11,47.97,-28.5,1.36,-3.97,35.27205882,NA,NA
Concord,MA,Fairyland_Overlook,14,-71.339148,42.447794,76,17,5,2021,unifected,14.826,1.198271296,31.799,6.73,8.12,1.39,48.77,-29.17,1.53,-2.72,31.87581699,NA,NA
Concord,MA,Fairyland_Overlook,15,-71.339121,42.447633,75,17,5,2021,unifected,12.412,0.839828674,32.272,NA,NA,NA,48.62,-30.15,1.32,-3.94,36.83333333,NA,NA
Concord,MA,Fairyland_Overlook,16,-71.339097,42.447634,75,17,5,2021,unifected,10.251,0.572848304,25.206,NA,NA,NA,51.38,-28.54,1.66,-2.53,30.95180723,NA,NA
Concord,MA,Fairyland_Overlook,17,-71.339062,42.447851,76,17,5,2021,unifected,14.392,1.129144349,30.693,NA,NA,NA,47.78,-30.24,1.55,-3.59,30.82580645,NA,NA
Concord,MA,Fairyland_Overlook,18,-71.339031,42.44759,76,17,5,2021,unifected,11.362,0.703747288,28.072,6.74,9.71,2.97,48.67,-27.45,1.26,-5.42,38.62698413,NA,NA
Concord,MA,Fairyland_Overlook,19,-71.338996,42.447786,75,17,5,2021,unifected,9.746,0.517797535,29.504,6.72,9.03,2.31,47.62,-31.61,1.17,-2.2,40.7008547,NA,NA
Concord,MA,Fairyland_Overlook,20,-71.338984,42.447748,73,17,5,2021,unifected,16.664,1.513790162,32.918,6.62,9.3,2.68,49.65,-30.11,1.14,-3.43,43.55263158,NA,NA
Long_Island,NY,RPMBT,1,-72.564166,40.5474438,124,4,5,2022,unifected,8.537,0.397299234,8.624,6.75,8.13,1.38,23.62,-30.87,0.58,-1.42,40.40822541,NA,NA
Long_Island,NY,RPMBT,2,-72.564155,40.544458,122,4,5,2022,unifected,9.183,0.459701937,12.444,6.7,7.93,1.23,50.04,-32.94,1.12,-2.52,44.86041132,NA,NA
Long_Island,NY,RPMBT,3,-72.564168,40.544462,121,4,5,2022,unifected,9.508,0.492816807,13.553,6.55,6.55,0,49.46,-31.88,1.22,-4.26,40.38333415,NA,NA
Long_Island,NY,RPMBT,4,-72.56414,40.544471,122,4,5,2022,unifected,8.925,0.434233789,9.241,6.69,7.38,0.69,51.92,-30.7,1.23,-1.68,42.23120597,NA,NA
Long_Island,NY,RPMBT,5,-72.564141,40.54448,122,4,5,2022,unifected,9.653,0.507962646,11.951,6.56,10.77,4.21,49.34,-31.38,1.16,-3.84,42.3893638,NA,NA
Long_Island,NY,RPMBT,6,-72.564195,40.544496,122,4,5,2022,unifected,8.149,0.362006026,7.516,6.68,6.74,0.06,50.63,-31.15,1,-1.98,50.84861858,NA,NA
Long_Island,NY,RPMBT,7,-72.564244,40.54448,122,4,5,2022,unifected,9.313,0.472809692,10.103,6.46,12.5,6.04,50,-30.65,1.06,-2.2,46.99552623,NA,NA
Long_Island,NY,RPMBT,8,-72.564263,40.544483,121,4,5,2022,unifected,9.411,0.482812729,9.117,6.65,6.73,0.08,49.72,-33.4,1.14,-1.94,43.78008083,NA,NA
Long_Island,NY,RPMBT,9,-72.564252,40.544447,126,4,5,2022,unifected,9.453,0.487131799,11.582,6.73,7.03,0.3,50.84,-30.78,1.21,-2.81,42.02700021,NA,NA
Long_Island,NY,RPMBT,10,-72.564241,40.544424,125,4,5,2022,unifected,9.28,0.469464889,14.046,6.67,7.07,0.4,49.45,-31.96,1.22,-0.43,40.45801901,NA,NA
Long_Island,NY,RPRCA,1,-72.550979,40.542847,102,5,5,2022,unifected,4.739,0.122427951,6.9,6.68,11.07,4.39,43.57,-31.42,1.21,-1.11,36.10036626,NA,NA
Long_Island,NY,RPRCA,2,-72.550999,40.542842,105,5,5,2022,unifected,4.932,0.132602985,7.146,6.71,6.72,0.01,48.21,-31.83,1.63,-1.16,29.49239324,NA,NA
Long_Island,NY,RPRCA,3,-72.550991,40.542878,106,5,5,2022,unifected,4.158,0.094248866,5.544,6.56,6.64,0.08,48.73,-31.23,1.64,-1.91,29.63812849,NA,NA
Long_Island,NY,RPRCA,4,-72.550966,40.542898,106,5,5,2022,unifected,5.896,0.189505629,8.193,6.53,7.05,0.52,51.41,-30.86,1.34,-2.13,38.35839272,NA,NA
Long_Island,NY,RPRCA,5,-72.550946,40.54288,103,5,5,2022,unifected,3.602,0.070728522,6.653,6.4,7.41,1.01,49.23,-32.28,1.6,-0.94,30.72177945,NA,NA
Long_Island,NY,RPRCA,6,-72.550921,40.542887,99,5,5,2022,unifected,5.899,0.189698526,8.62,6.64,6.64,0,48.86,-31.34,1.18,-1.54,41.4079661,NA,NA
Long_Island,NY,RPRCA,7,-72.550923,40.542935,102,5,5,2022,unifected,5.754,0.180487396,7.885,6.53,8.3,1.77,50.61,-31.35,1.51,-1.73,33.54844697,NA,NA
Long_Island,NY,RPRCA,8,-72.550899,40.542897,108,5,5,2022,unifected,7.06,0.271716847,3.793,6.59,14.26,7.67,49.51,-33.01,1.27,-2.45,38.95239144,NA,NA
Long_Island,NY,RPRCA,9,-72.550869,40.542902,101,5,5,2022,unifected,6.818,0.253408488,7.146,6.57,6.64,0.07,49.42,-32.45,1.21,-0.83,40.9919789,NA,NA
Long_Island,NY,RPRCA,10,-72.5509,40.542864,100,5,5,2022,unifected,5.367,0.157025562,8.58,6.66,6.97,0.31,49.75,-31.16,1.39,-2.18,35.88846731,NA,NA
Long_Island,NY,RPUNIT14,1,-72.561599,40.542877,106,6,5,2022,infected,9.278,0.469262555,10.066,6.4,9.01,2.61,49.62,-33.1,1.02,-2.8,48.77886686,NA,NA
Long_Island,NY,RPUNIT14,2,-72.561592,40.542896,113,6,5,2022,dead,9.208,0.462208349,13.935,6.7,6.99,0.29,49.55,-32.15,1.36,-3.67,36.36290914,NA,NA
Long_Island,NY,RPUNIT14,3,-72.561497,40.542884,102,6,5,2022,infected,8.655,0.408358227,41.91,6.57,14.12,7.55,49.06,-32.28,1.4,-2.87,35.10643474,NA,NA
Long_Island,NY,RPUNIT14,4,-72.561622,40.542923,107,6,5,2022,infected,8.462,0.390349122,15.25,6.29,6.29,0.01,49.78,-32.36,1.16,-3.45,42.77952526,NA,NA
Long_Island,NY,RPUNIT14,5,-72.561666,40.542824,103,6,5,2022,infected,7.688,0.322206216,11.806,6.69,20.93,14.24,48.4,-32.46,1.12,-1.97,43.38021099,NA,NA
Long_Island,NY,RPUNIT14,6,-72.561669,40.542854,104,6,5,2022,infected,9.502,0.492195022,14.709,6.48,18.54,12.06,49,-32.22,1.16,-2.18,42.0930732,NA,NA
Long_Island,NY,RPUNIT14,7,-72.561525,40.54285,103,6,5,2022,infected,8.438,0.388138038,12.58,6.68,9.9,3.22,48.5,-30,1.27,-1.96,38.30872769,NA,NA
Long_Island,NY,RPUNIT14,8,-72.561518,40.542854,106,6,5,2022,infected,9.402,0.481889716,14.167,6.46,7.22,0.76,48.62,-32.24,0.86,-2.09,56.36185541,NA,NA
Long_Island,NY,RPUNIT14,9,-72.561591,40.542845,112,6,5,2022,infected,9.139,0.455307201,9.483,6.75,6.96,0.21,48.55,-33.05,1.04,-2.73,46.65574432,NA,NA
Long_Island,NY,RPUNIT14,10,-72.561676,40.542813,103,6,5,2022,infected,9.429,0.484661404,7.161,6.42,12.26,5.84,48.72,-29.26,1.58,-2.86,30.83536917,NA,NA
